Journal Profile: Nature Communications,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,Average JIF Percentile
2018,"243,793",11.878,11.501,13.811,2.107,"5,058",3.4,6.8,1.10329,5.402,99.31,131.03819,93.478
2017,"178,348",12.353,11.998,13.691,1.829,"4,316",3.0,6.8,0.92609,5.685,99.72,108.17600,96.094
2016,"123,958",12.124,11.814,13.092,1.993,"3,534",2.5,6.9,0.72169,5.735,99.77,82.76768,96.094
2015,"75,139",11.329,10.995,12.001,2.078,"3,192",2.2,6.5,0.47684,5.543,99.78,54.35056,96.032
2014,"39,396",11.470,11.097,11.904,1.706,"2,788",1.9,6.4,0.26326,5.723,99.75,29.48484,95.614
2013,"17,193",10.742,10.477,11.023,1.721,"1,591",1.9,6.3,0.12331,5.667,100.00,13.59167,95.455
2012,"7,322",10.015,9.893,10.020,2.096,612,1.6,6.1,0.05880,5.611,99.51,Not Available,95.536
2011,"1,859",7.396,7.308,7.396,1.659,451,1.2,6.2,0.01222,4.473,99.11,Not Available,93.750
2010,95,Not Available,Not Available,Not Available,0.591,149,Not Available,5.5,0.00000,Not Available,97.99,Not Available,0.847
Copyright © 2019 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
