Journal Profile: BIOLOGICAL PSYCHIATRY,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,Average JIF Percentile
2018,"43,122",11.501,11.157,11.275,4.285,179,9.7,7.0,0.05332,4.004,74.86,6.33327,95.620
2017,"42,495",11.984,11.597,10.885,4.218,179,9.1,6.8,0.05687,3.823,81.56,6.64346,96.435
2016,"41,859",11.412,11.137,10.577,3.816,190,8.6,6.9,0.06732,3.940,77.37,7.72286,96.229
2015,"42,289",11.212,10.864,10.799,3.653,190,8.1,6.9,0.07406,3.724,78.42,8.44084,96.365
2014,"40,812",10.255,9.973,10.359,2.667,210,7.7,7.0,0.07948,3.553,84.29,8.90191,96.151
2013,"40,687",9.472,9.018,10.347,2.883,239,7.4,6.7,0.08145,3.332,88.70,8.97690,95.667
2012,"37,840",9.247,8.834,9.773,2.131,251,7.0,6.5,0.09517,3.471,93.63,Not Available,96.224
2011,"34,481",8.283,7.851,9.247,1.836,298,6.6,6.4,0.09387,3.191,94.30,Not Available,95.093
2010,"32,972",8.674,8.279,9.441,1.565,317,6.3,6.6,0.10461,3.325,96.53,Not Available,95.599
2009,"31,909",8.926,8.511,9.489,1.592,304,6.0,6.5,0.10849,3.222,95.72,Not Available,95.799
2008,"29,333",8.672,8.304,9.015,1.943,297,5.8,6.5,0.11389,3.186,95.96,Not Available,95.439
2007,"25,479",8.456,7.965,8.668,1.523,354,5.7,6.7,0.10344,3.000,95.76,Not Available,95.176
2006,"21,735",7.154,6.667,Not Available,1.434,332,5.8,6.5,Not Available,Not Available,86.14,Not Available,94.263
2005,"19,788",6.779,6.224,Not Available,1.173,335,5.8,6.4,Not Available,Not Available,94.03,Not Available,94.263
2004,"17,553",6.159,5.705,Not Available,0.900,300,5.5,6.2,Not Available,Not Available,97.00,Not Available,94.141
2003,"15,855",6.039,5.507,Not Available,0.729,292,5.2,6.3,Not Available,Not Available,97.26,Not Available,94.397
2002,"13,595",5.915,5.409,Not Available,0.964,224,4.9,6.5,Not Available,Not Available,91.96,Not Available,94.138
2001,"13,079",5.505,4.990,Not Available,0.638,243,5.0,6.4,Not Available,Not Available,95.06,Not Available,92.158
2000,"11,254",4.269,3.748,Not Available,1.136,250,5.3,6.2,Not Available,Not Available,94.00,Not Available,87.797
1999,"9,830",3.319,2.891,Not Available,0.598,388,6.3,7.2,Not Available,Not Available,93.56,Not Available,83.363
1998,"8,197",2.405,2.196,Not Available,0.310,294,6.2,7.5,Not Available,Not Available,96.26,Not Available,73.073
1997,"8,085",2.254,2.068,Not Available,0.429,324,6.2,7.8,Not Available,Not Available,96.91,Not Available,70.092
Copyright © 2019 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
