Journal Profile: HUMAN BRAIN MAPPING,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,Average JIF Percentile
2018,"22,040",4.554,4.264,5.182,1.059,374,6.9,8.1,0.04323,1.784,99.73,5.13552,84.354
2017,"20,334",4.927,4.610,5.431,0.957,421,6.9,8.1,0.04278,1.894,97.86,4.99704,86.357
2016,"18,139",4.530,4.262,5.090,0.806,325,7.1,7.7,0.04181,1.943,99.69,4.80092,85.876
2015,"17,184",4.962,4.579,5.638,0.931,378,6.5,7.5,0.04035,2.084,98.15,4.59903,89.530
2014,"16,505",5.969,5.592,6.687,1.176,454,6.0,8.0,0.04232,2.288,96.92,4.73991,91.723
2013,"14,858",6.924,6.781,6.956,1.315,257,6.0,8.8,0.04166,2.440,92.22,4.59228,95.556
2012,"13,379",6.878,6.708,7.032,1.451,226,5.9,8.3,0.04165,2.592,96.02,Not Available,95.694
2011,"10,916",5.880,5.702,6.348,1.331,181,5.9,8.2,0.03617,2.382,100.00,Not Available,91.666
2010,"9,363",5.107,4.901,6.130,1.037,162,5.8,7.3,0.03441,2.328,99.38,Not Available,89.871
2009,"8,443",6.256,5.701,7.036,0.997,339,7.0,7.4,0.02846,2.757,93.51,Not Available,94.959
2008,"6,602",5.395,5.171,6.022,1.205,117,6.7,7.4,0.02386,2.387,94.02,Not Available,90.267
2007,"5,685",6.151,5.870,6.277,0.868,121,6.5,7.3,0.02374,2.598,91.74,Not Available,95.446
2006,"4,943",4.888,4.674,Not Available,0.753,89,6.4,6.7,Not Available,Not Available,93.26,Not Available,89.139
2005,"4,588",4.317,4.068,Not Available,1.250,96,6.2,6.2,Not Available,Not Available,97.92,Not Available,89.226
2004,"3,898",4.815,4.555,Not Available,0.575,73,5.6,6.3,Not Available,Not Available,98.63,Not Available,90.518
2003,"3,567",6.058,5.775,Not Available,0.889,72,5.2,6.2,Not Available,Not Available,97.22,Not Available,92.942
2002,"2,715",5.076,4.680,Not Available,0.683,63,5.3,6.0,Not Available,Not Available,100.00,Not Available,91.391
2001,"2,574",5.688,5.428,Not Available,0.965,57,4.8,6.0,Not Available,Not Available,94.74,Not Available,92.598
2000,"1,966",5.163,4.802,Not Available,0.597,62,5.0,5.7,Not Available,Not Available,100.00,Not Available,92.675
1999,"1,572",5.280,4.975,Not Available,0.940,50,4.3,5.1,Not Available,Not Available,100.00,Not Available,93.939
1998,"1,114",4.738,4.384,Not Available,0.222,36,3.5,4.9,Not Available,Not Available,100.00,Not Available,92.848
1997,713,10.049,8.926,Not Available,0.500,46,2.7,4.4,Not Available,Not Available,Not Available,Not Available,98.167
Copyright © 2019 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
